Date,Text,Username,Location
2018-12-26 08:06:15,"Food for thought:
Did Buhari budget $1bn for Fuel subsidy, in the 2019 budget?! .....Yes!
But was there a budget for fuel Subsidy in the 2016, 2017 &amp; 2018 budgets?! ......No!
Was fuel subsidy paid in 2016, 2017 &amp; 2018?! .....Yes!
So why budget for fuel Subsidy in 2019?",garkuwa_umar,"Abuja, Nigeria"
2018-12-26 08:06:04,"@skaalbgroup @Mr_JAGs @aligthebaptist @PoliceNG One day, you, your children or children's children shall be a victim of this madness you support today. That a court of competent jurisdiction had discharged &amp; acquitted a man of all allegations but Buhari with the help of NPF continue to keep him in detention against court order",Ntob,
2018-12-26 08:06:04,"@farooqkperogi If they like let them sing heaven and earth their time is over! And all the cabal that import the imposter from Sudan they called buhari will pay for their sins soon, them and their generations will never no peace",MudiaPrince,
2018-12-26 08:05:53,Good morning Nigerians. Compliments. Everyone is castigating the Buhari/APC govt as if our problems started or was created by them. Even those who created it were the ones shouting the most. It is a choice; either to KILL CORRUPTION or allow it kill us. THINK,Longe7200,"Lagos, Nigeria"
2018-12-26 08:05:47,@Echeune76 I don't support Buhari.,JajaPhD,"Abuja, Nigeria"
2018-12-26 08:05:43,"@Phemmy070 Okay, thanks for the reminder and doing justice to the last part ""was released"". How come Mr buhari n his boy suddenly became a judge trying to re-convict him? What a Misplaced priority from a clueless govt? Lord, 2019 do a new thing in Nigeria...😣",jolarh,"Lagos, Nigeria"
2018-12-26 08:05:23,@Buhari_Ghandi @scarfizal Amen,rabdoool,Abuja
2018-12-26 08:05:12,"@Malc_OE @dino_melaye Fool so is senate that employed the workers, please u people can't understand how government run,u keep support &amp; carried away with Buhari worst government propaganda",OyedeleOyekunl9,Lagos 
2018-12-26 08:03:45,"@anaiyke @BashirAhmaad @MBuhari @BNMC_Lagos Actually the goal has been cancelled cos it's offside. I don't know why the main opposition keep scoring offside goals. Buhari and star boy VP keep scoring legit goals.
#NextLevel #NextLevelNigeria #PMB4Plus4",idealtailor,LAGOS
2018-12-26 08:03:44,Some of our elderly still hold on to this false believe that Buhari has intergrity and that as military head of state he would have changed Nigeria before he was kicked out. Clearly that is a myth and the most difficult thing to let go of are myths.,obuks36,Lagos
2018-12-26 08:03:21,@NiyiArepo @benylex @channelstv @segalink That dad isnt current with the blunders of this government and the negative worldwide awards they have won for Nigerians.That dad is sadly gullible and posterity will not forgive him and his likes for plunging Nigeria into another 4yrs of untold suffering if buhari wins!,realanifon,"Jalingo, Nigeria"
2018-12-26 08:03:00,"@CAN_Divine Like asap. 😩
 Buhari messed up our TL",Alby_Jnr,"Port Harcourt , Nigeria"
2018-12-26 08:02:56,@sweetfm1071 Aisha Buhari is a wife of over 25 years to #Buhari she clearly knows her husband could have done better.,BADAOLUWAFEMI," Nigeria, Africa"
2018-12-26 08:02:51,"@biolakazeem Atiku's emergence is a bad market for sane PDP members. Bet some of them never expected him to win the ticket, that's why their energy is fixated on harping on Buhari's (obvious)  incompetence rather than what Atiku has in store for us.",Taiwomutiu6,oyo state
2018-12-26 08:02:44,"@EmperohNedu @IjeleNnia @meks2850 @Mrkabal Take a roll call of the supposed intellectuals working under Buhari administration. All of them have been reduced to jokers.

We saw how Prof. Sagay was demystified. Look at Enelemah and Kachikwu and you'll agree with me.",AustinYugo,"Lagos, Nigeria"
2018-12-26 08:02:41,@sabo_abdulmumin @OluwatoyinBalo3 Buhari is lifeless meaning he is a dead working.,Elugulu1,
2018-12-26 08:01:51,"@coolwales @MBuhari I’ll be sincere in this with u,I strongly shared d same thoughts with u but I can’t deceive myself by my analysis, next election is between Atiku &amp; Buhari, it’s better we move our votes for Atiku. A vote for sowore and others is a vote for Buhari. Take #OsunElection as yardstick",IBKLeads,"Indiana, USA"
2018-12-26 08:01:42,@phemmynice @bukolasaraki Buhari that deceiving u is the one u following &amp; belief because u dancing to slogan songs of fighting nonsense corruption that is not economy policy,OyedeleOyekunl9,Lagos 
2018-12-26 08:00:48,"I will continue to be Baba  go slow till all money are retrieve ......... Buhari
Ganduje, Akapbio are in your party playing a leading role in your re-election bid, get the one those thieves are holding first ,  before we will take you serious.",danielezekiel60,"Warri, Nigeria"
2018-12-26 08:00:42,"@EmperohNedu @IjeleNnia @meks2850 @Mrkabal It is impossible for Buhari to attract leaders that can improve things. Bear in mind the culture of the leader. Buhari has the mindset of a feudal lord, he hates to be challenged.

So the guys working for him, will keep saying yes to his mistakes so they can keep their jobs.",AustinYugo,"Lagos, Nigeria"
2018-12-26 08:00:29,My vote is for M.Buhari insha Allah,Adegboy06872683,
2018-12-26 08:00:12,"@olafamouskay @anthonyabakporo @jibril_taiwo @Bb_MsIncredible @OluwatoyinBalo3 @nytimesworld it doesn't seem as if Buhari's administration has a well grounded foundation itself otherwise there'd be improvement on the health sector so Bubu wouldn't go on medical tourism, power would improve, price of food and dollar would crash

change the change",gbemiro,Washington State
2018-12-26 08:00:11,@MobilePunch If BUHARI led administration has failed Nigerians your administration contribute to the failure.,AliyuBa91480581,
2018-12-26 07:57:34,@imWaya @ArinzeChosen @omonlakiki Thank you boss. Election no be war. Atiku is important but Buhari is importanter. #NextLevelNigeria #NextLevel #PMB4Plus4,idealtailor,LAGOS
2018-12-26 07:56:01,"@farooqkperogi Buhari will eventually appoint ministers like Dalong, Ngige, Shittu, reinstating sacked officials like Maina, nominate deceased people to boards.
Our situation is so dire that even the 1st lady,his wife for 30yrs,lamented/confessed his govt is being controlled by 2 people..Buhari",MR_ICONZ,Inside a Naked Singularity
2018-12-26 07:55:48,"@OmoseKingsley The whole gory misadventure with Buhari is simply shameful. His promoters especially their DC sponsors and their lying Nigerian compatriots posited that Buhari was a ""superhuman"" that he had a magic wand. Nigerians must stop this sterile fixation on Aisha as the new Cinderella.",AsemotaOsa,
2018-12-26 07:55:45,"@ademola0314 @bukolasaraki Hmmmmm I pity u Yoruba very soon your eyes will clear,I think u are brainwashed that the power will be giving to u by Buhari in 2023 likewise Igbo right but Southerner will be battle themselves when Fulani nonentity will find their way thorough",OyedeleOyekunl9,Lagos 
2018-12-26 07:55:28,"The media is gone
The judiciary is gone
Law enforcement is compromised.
Wealth is criminalized.
Free speech and protests criminalized.

The dystopia that Buhari is steadily pushing us to will soon enough have Nigerians exchanging ""Under his Eyes"" greetings.",I3thD,
2018-12-26 07:54:36,@Thonia69570482 @renoomokri @adeyanjudeji Arrested by Buhari and his goons for a case he was acquitted from 10 years ago.,Normofe,Somewhere
2018-12-26 07:54:27,"We will continue to strife to work and get to where we want to get to. We thank the President, Muhammadu Buhari for creating an enabling environment for our football to thrive - @PinnickAmaju live on @TVCconnect",thenff,Nigeria
2018-12-26 07:54:09,"Buhari is d greatest fraudster I ever seen. This is a man who never sing x-mas song for d past 3 yrs of being in power, but that now that election is around d corner, he has become choir minister to deceive Nigerians. It won't work,  Nigerians re given u red card back to Daura",danielezekiel60,"Warri, Nigeria"
2018-12-26 07:53:59,@AsemotaOsa It's classic Buhari playing the avoidance of responsibility card,OmoseKingsley,"Lagos, Nigeria"
2018-12-26 07:53:57,"@abiodunosemobor @tfx47 @iyaboawokoya @AdeBanqie Deji has made money from causing chaos, spreading falsehood and hate. He was d same guy that went to the US/UK to de-market Buhari pre 2015 election. He was given wads of dollars. He's trying same thing again but even worse. So let him enjoy where he is",baTeeatus,change. 2015.com
2018-12-26 07:53:50,@Habeeb_Mdk I don’t know what’s wrong with him every time he’s around Buhari 😂😂😂😂,bgsuleiman,"Here today, gone tomorrow."
2018-12-26 07:53:36,@Aunty_bae Are you for real? We spent Christmas without light. Buhari must go,samie_mok,"Jos, Nigeria"
2018-12-26 07:53:31,"@GarShehu Telephone commiserate is not enough for people of Zamfara, always we are sleepless, killing and kidnapping every where, president Buhari should come personally and see what is exactly happening in Zamfara.",Mahmudkaura01,nigerian
2018-12-26 07:52:59,"@SUEZJINES @adeyanjudeji No be so!
He’s not pro-Atiku or Buhari. He stands for what is right in the society.",danielFasanya,"ÜT: 7.4123234,3.9279059"
2018-12-26 07:51:55,"@AyoolaAdenekan @PresidentDCS @GovAyoFayose @MBuhari No is Buhari that reliable, u Yoruba will be under Fulani colonisation till eternity, Fulani herdsmen keep killing &amp; kidnapping in on do state non of u see that but just believe to favour who doesn't favour u",OyedeleOyekunl9,Lagos 
2018-12-26 07:51:38,@OmoseKingsley How can a compound &amp; predicted failure like Buhari begin sophistical arguments with us at this late hour before election for Aisha to point out who the so-called cabal is or what wrong they have got him to do?,AsemotaOsa,
2018-12-26 07:51:21,@renoomokri @MBuhari We are missing the point. Can't we do better than Atiku and Buhari? Why the devil and the deep blue sea?,inibetok,"PH, Nigeria"
2018-12-26 07:50:55,"Una Really flaunt money this Christmas o, maybe Buhari is not that bad after all",TosynAdewole,Emirates
2018-12-26 07:49:51,@PresidentDCS @GovAyoFayose @MBuhari Buhari is Pharaoh of this country &amp; his agents make u feel is the best,OyedeleOyekunl9,Lagos 
2018-12-26 07:49:46,The wanton killings in Zamfara state both by bandits and govt is sad! Do citizens not have rights to protest the continuous killings around them? Why kill them for drawing the world attention to the state of insecurity in Zamfara? Buhari has failed to secure lives. Buhari must go,shirleysmind,Lagos
2018-12-26 07:49:26,"Let me put it in black and white.

Buhari runs the most criminal government since our return to democracy since 1999.

It has perfected the art of financial obscurity which is the lifeblood of corruption.

With open records &amp; accountability,  people steal with impunity.

Simple.",afrispheric,
2018-12-26 07:49:10,"@MBuhari Hypocrite is when a Christian take side with a Muslim.  But who is this Christian handling this profile?  
  Mind your baba is fast fowarding the happy new year.  
      Don't wish me happy new year so as my life will not be like Buhari and there apc cohorts.",Calebkelvin9,Tripoli Libya
2018-12-26 07:48:40,"@HassanAlabe @BbkShettima @MobilePunch Then let's vote another party not atiku no Buhari as all the parties have been tested, PDP for 16 years and apc 3 years now.",Sngworld1,"Knowledge Park, Noida"
2018-12-26 07:48:09,@sweetfm1071 Buhari sang Christmas song for first time since 2015 few weeks to election. OK o. #GOP,jonathan_ola,Lagos
2018-12-26 07:47:28,"@cyberagbero It should be by the time Buhari is done with the election, all the money he stole to finance it,will be exposed",ValMary89666872,
2018-12-26 07:47:28,@OfficialPDPNig @MBuhari @atiku @renoomokri @officialKolaO @benmurraybruce @UcheSecondus @GovWike @bukolasaraki @akaebube @PeterObi @GovIfeanyiOkowa Buhari also said that Calabar-Itu road is nearing completion. Blatant lie. The road is still a death trap.,JohnEssienumoh,"Lagos, Nigeria"
2018-12-26 07:47:19,"@OmoseKingsley Much as Aisha Buhari has become the ""darling"" of Nigerians on SM I am not impressed. The fixation on Aisha is part of the obfuscation and disinformation campaign of the APC and Buhari clan to deceive Nigerians and divert attention from the crass failure that Buhari is.",AsemotaOsa,
2018-12-26 07:47:09,"@AishaYesufu Hahahaha.. Deceit of high order. Say it loud Buhari is more than desperate, so we shouldn't expect anything like free and fair elections in Nigeria but we believed in God and we believed that God pass all.",ibrameek,"Gusau, zamfara state. Nigeria."
2018-12-26 07:47:08,The problem we Nigerians made in the 2015 election was that we voted against Jonathan and not for Buhari,tochizkc,Abuja
2018-12-26 07:47:07,@henryshield Suffering was worst under GEJ but now suffering is much better under Buhari. Since buhari as enacted suffering into the constitution. #FreeDejiAdeyanjuNOW,Isiiyere,"Warri, Nigeria"
2018-12-26 07:46:59,@Emperorzack @jeffphilips1 @atiku @JeffFlake And you didn’t see that he wrote that the senator is in charge of African affairs. Buhari has so blinded your minds that you can’t reason straight anymore,PerformOrResign,"Lagos, Nigeria"
2018-12-26 07:46:39,@AishaYesufu @MBuhari All this things are artificial and Insha Allah everything will be over God willing it has been ordain that this will happen. May Allah 4give those who have lost their lives and may he gives their relatives D furtitute to bear D irreplaceable lost Allah zaikawo sauki ba buhari ba,Sngworld1,"Knowledge Park, Noida"
2018-12-26 07:46:00,"@renoomokri @ObaAdeoye1 @MBuhari @APCNigeria @atiku To me, govr udom shd not allow APC use of d stadium. APC shd make do with other avenue. It doesn't change the vote Akpabio will gather for pmb. I know for sure, victory is certain for pmb come febuhari. God bless Nigeria! God bless Buhari!",bamgboo,Maya-Ikorodu
2018-12-26 07:45:50,"A government where TWO people could take NLNG profits and claim they used billions of it for subsidy payments?

No legislative approval,  no oversight, nothing.

But Buhari is not stealing and the stealing has reduced.",afrispheric,
2018-12-26 07:45:50,@MobilePunch OBJ has envisaged Buhari's winning 2019 by wide margin.,IdrismMusa,"Lagos, Nigeria"
2018-12-26 07:45:43,and its extremely hurt.,syahirah_buhari,Malaysia
2018-12-26 07:45:27,"👇👇👇
I’ll continue as Baba Go Slow until I retrieve every stolen money –Buhari

😀😀
Has he retrieved the IDP fund stolen by Babachir Lawal, and others like: Ganduje, Buratai, Usman, Amaechi?

-Oluomo",bbdelacruz001,"Lagos, Nigeria"
2018-12-26 07:44:54,There's nothing to defend about a nepotic Buhari. Trying to do so will be at your own risk.,realNCNC,"Enugu, Nigeria"
2018-12-26 07:44:42,Nigeria doesn't deserve a President whose wife is his main critic! Whose wife isn't satisfied that her husband has done enough to warrant a second term! Buhari doesn't! We all know... Vote Atiku Abubakar as President! #FreeDejiAdeyanjuNOW,shirleysmind,Lagos
