text,scorelist,sentimentprediction
everything you have mentioned were term projects started which couldnt have been completed by it is rather surprising that power plants and transmission lines are taking buhari this long to complete most were completed abj rail and airports were completed,0.0,[4]
we have no reason not to vote president buhari gov bindow governor of adamawa state sen mohammed umar jibrilla has stated that voting president buhari for his second term is,-3.0,[4]
buba galadima reveals how buhari has already handed over to atiku,0.0,[4]
nan da akayi na kaduna who stop it kaji an ce wani buhari or something the governor stop it himself with only speech da fatar baki am sick tried of this zamfara stuff,-4.0,[0]
president buhari and his legion of hurdles by alex enemanna,0.0,[4]
go and find out yourself who introduced the new jamb system and report back if you want but will sincerely remind that all this has nothing to do with atiku obi and am not saying that buhari have done nothing just that it is far below expectations,-1.0,[0]
buharists now have two groups one group roots for buhari openly while the other group roots for other candidates except atiku it is simple tactic buharists will never consider voting for someone else but they re out to divide other people votes wake up nigerians,-6.0,[0]
even at their own abysmal failure lai mohammed has the guts to say that buhari has fulfilled it promises to nigerians nigerians can see how these administration have been lying to us since weep for apc,-1.0,[0]
president buhari will not be nigeria president come may buba galadima,-2.0,[4]
the day madam ngozi presented budget on behalf of fearful jonathan remember she presented this budget with billion bribe why will not pdp boo buhari the man no drop kobo,-8.0,[0]
those pushing buhari will end up pushing him into oblivion he will loose the re election in and will be forgotten the same way he was after his head of state stint because when atiku wins we we ll not blame him we ll just concentrate on getting nigeria work again,-2.0,[0]
now know because he didn sing xmas song years therefore singing it now has turned him to sinner if he eventually sing for muslims during their festivities that would turn him to what big man disabuse your mind this man buhari is an upright man to the core,1.0,[4]
husband that can not please his wife wants to run the whole country lmaoooooo buhari should not be councillor,-4.0,[0]
presidency buba galadima discloses how buhari has already handed over to atiku politics,0.0,[0]
atiku mocks anti corruption war says buhari has admitted failure,-8.0,[0]
atiku urges buhari to blame himself for anit corruption failure,-4.0,[0]
actually glad buhari became president coz we would ve never known what he capable of,0.0,[4]
lol and mr spellz buhari just got the vibes from see dancing,3.0,[4]
there are major differences the rabia thing shows only one hand buhari raised both buhari made the hand signal at political gathering not religious function based on above logic willing to take my chances that buhari hand signal had nothing to do with rabia,0.0,[0]
any nigerian that build his worth from free money or looting treasury will not like or wish buhari well istandwithbuhari,2.0,[4]
true he stated it there the meaning of what buhari said in hausa and the interpretation,0.0,[4]
the people democratic party pdp has urged on nigerian president muhammadu buhari to terminate the appointment of his service chiefs over the recent killings in,0.0,[4]
fighting corruption do not blame nigeria system for your failure atiku tackles buhari again,-4.0,[0]
zamfara massacre sack your security chiefs pdp tells president buhari,0.0,[4]
can you sincerely say that buhari has done well in terms of security fight on corruption and the economy,1.0,[4]
pdp criticizes buhari for singing christmas song to nigerians,-2.0,[4]
buhari would handover to atiku come may galadima,0.0,[4]
you have no excuse for your anti corruption failure atiku replies buhari,-4.0,[0]
imagine not being able to make point without resulting to insults hope insulting buhari has finally emancipated buhari,-4.0,[0]
don use my name for extortion buhari warns aides,-2.0,[4]
buhari and who what do you see,0.0,[4]
buhari marking his last christmas in office pdp news,0.0,[0]
not politrickcian but know naija problems can not be fixed in years hypocrisy is crucifying buhari for not fixing our mess in years,-12.0,[0]
is jubril the real buhari,0.0,[4]
you re the problem not the system atiku tackles buhari again,-4.0,[4]
atiku replies buhari do not blame system for your failures,-4.0,[4]
you re the problem not the system atiku tackles buhari again,-4.0,[4]
you re the problem not the system atiku tackles buhari again,-4.0,[4]
